Agente,1006,Conexão ,172,Tipo de ligação,Descrição,Ano,Tipo do agente,Tipo de ligação predominante
DataLabe,1,Coalizão Direitos na Rede (CDR),,Parceria em projeto,Não especificado,2022,Laboratório,Parceria em projeto
DataLabe,1,Rede favela sustentável,,Parceria em projeto,Parceiros no cocôzap,2023,Laboratório,Parceria em projeto
DataLabe,1,Visão Coop,,Parceria em projeto,Parceiros no cocôzap,2023,Laboratório,Parceria em projeto
DataLabe,1,Rede GCD,,Membro,Membro importante da Rede de Geração Cidadã de Dados.,"2022, 2023",Laboratório,Membro
DataLabe,1,Instituto de referência em internet e sociedade,,Parceria em projeto,"campanha sobre acesso à internet de qualidade e sem limitações, com ações nas redes sociais e na imprensa.",2023,Laboratório,Parceria em projeto
DataLabe,1,"Lutes (Lutas Urbanas, Tecnologia e Saneamento)",,Membro; Parceria em projeto,"Colaboração num projeto no Colégio Estadual Professor João Borges de Moraes, na Maré, com aulas que relacionam a geração de dados como metodologia de diagnóstico popular e o ativismo local como ferramentas para a justiça socioambiental.",2023,Laboratório,Membro
DataLabe,1,Mycelium tecnologia,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Kilomba produções,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Eficientes,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Coalizão O Clima é de Mudança,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Citizen Social Science (CoAct),,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Fogocruzado,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Instituto decodifica,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
DataLabe,1,Open Knowledge Brasil,,Parceria em projeto,Não especificado,2023,Laboratório,Parceria em projeto
Instituto decodifica,1,Data Privacy Brasil,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Labid2,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,DataLabe,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Aqualtune Lab,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Núcleo de Informação e Coordenação do Ponto BR (NIC.br),,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Comitê Gestor da Internet no Brasil (CGI.br),,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Vale do Dendê,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Rede GCD,,Parceria em projeto,"Agradecimentos e participação no ebook ""LGPD x Diálogos entre a geração cidadã de dados, a lei geral de proteção de dados e a justiça racial""",2024,Instituto ,Parceria em projeto
Instituto decodifica,1,Rio On Watch,,Financiamento,"Do projeto ""Como anda a luz no Jacarezinho""",2020,Instituto ,Financiamento
Instituto decodifica,1,NICA Jacarezinho,,Financiamento; Parceria em projeto,"Do projeto ""Boletim dengue 2022""",2022,Instituto ,Financiamento
Instituto decodifica,1,Fundação Oswaldo Cruz (Fiocruz),1,Parceria em projeto,"Do projeto ""Boletim dengue 2022""",2022,Instituto ,Parceria em projeto
Instituto decodifica,1,Fundação Getulio Vargas (FGV),,Parceria em projeto,"Do projeto ""Boletim dengue 2022""",2022,Instituto ,Parceria em projeto
Instituto decodifica,1,Clínica da Família Anthidio Dias da Silveira,,Parceria em projeto,"Do projeto ""Boletim dengue 2022""",2022,Instituto ,Parceria em projeto
Quebra_dev,1,SESC Araraquara,1,Financiamento,Pagamento por um workshop feito,2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Quebra_dev,1,Fix Fibra,,Financiamento,Apoio oficial no site e doação,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Quebra_dev,1,AfroyaTech,,Financiamento,Doação,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Fundação Heinrich Boll Stiftung,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Open Society Foundations (OSF),,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Alana,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Climate and Land Use Alliance,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,European Climate Foundation,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Fundação Instituto de Pesquisas Econômicas,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Instituto Galo da Manhã,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Global Strategic Communications Council,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Ibitapitanga,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Instituto Clima e Sociedade (ICS),,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Laudes Foundation,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Luminate,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Malala Fund,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,OAK Foundation,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Skoll,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,The Philantropy workshop,,Financiamento,Indicação de financiador oficial no site,"2024, 2025",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Fundação Ford,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Co Impact,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Facebook,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Fundo Brasil,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Instituto Avon,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Magalu,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,National Endowment for Democracy,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Omidyar network,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,SVCF,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Sexual Violence Research Initiative,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,The Sigrid Rausing Trust,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Tides,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Tinder,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Tinker Foundation,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Fundo das Nações Unidas para a Infância (UNICEF),,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Urban Innovation Fund,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Keseb,,Financiamento,Indicação de financiador passado oficial no site ,Não especificado,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
NOSSAS,1,Open Network,,Membro,NOSSAS faz parte da rede,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Palmares laboratório e ação,,Parceria em projeto,O Edital Nossas Cidades Amazônia apoiou três organizações amazônidas com formação e aporte financeiro,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Instituto Mapinguari,,Parceria em projeto,O Edital Nossas Cidades Amazônia apoiou três organizações amazônidas com formação e aporte financeiro,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Alagbara,,Parceria em projeto,O Edital Nossas Cidades Amazônia apoiou três organizações amazônidas com formação e aporte financeiro,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,IDEC,,Parceria em projeto,"Articulação de uma campanha ""SP Não está à venda"" que engajou mais de 10 mil pessoas em pressão aos vereadores",2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Instituto Pólis,,Parceria em projeto,"Articulação de uma campanha ""SP Não está à venda"" que engajou mais de 10 mil pessoas em pressão aos vereadores",2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Ecoforensic,,Parceria em projeto, O projeto “Onde mineradora não tem vez” teve como objetivo apoiar movimentos que atuam no enfrentamento à mineração em Minas Gerais.,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Mapas,,Parceria em projeto, O projeto “Onde mineradora não tem vez” teve como objetivo apoiar movimentos que atuam no enfrentamento à mineração em Minas Gerais.,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Minha Manaus,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Minha Jampa,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Meu Recife,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Minha BH,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Meu Rio,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Minha Sampa,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Minha Campinas,,Membro,Braço regional do NOSSAS,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
NOSSAS,1,Arte de preta,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Associação Juventude em Ação,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Comunidade Indígena Mirituba,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Comunidade Indígena Renascer,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,ATINSÁ,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,EDUCABREU,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Gueto Hub,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Perifayoga,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Grupo Tumuné Ûti,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,República Família Atos 29,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Vestibulandos da Cidadania,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,RENFA,,Parceria em projeto,"Iniciativa apoiado pelo edital ""Periferia que Faz"" da NOSSAS",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,Assembléia Legislativa do Rio de Janeiro,1,Parceria em projeto,"O projeto Defezap funciona dentro da comissão de Direitos Humanos da Alerj com o nome ""Zap da Cidadania""",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
NOSSAS,1,All Out,,Parceria em projeto,"Projeto Acolhe LGBT+, uma plataforma pra conectar pessoas LGBT+ que precisam de atendimento psicológico a profissionais da psicologia que possam atendê-las voluntariamente.",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
